vibrationMeasurement,maintenanceRequired,remainingTime
2,0.1,365
10,0.1,363
11,0.1,360
15,0.1,358
20,0.1,356
24,0.11,353
30,0.14,351
31,0.15,349
34,0.17,347
35,0.18,346
38,0.19,344
40,0.21,341
47,0.23,339
51,0.24,337
53,0.26,335
63,0.28,334
66,0.28,332
68,0.3,331
71,0.32,330
74,0.35,328
79,0.38,329
80,0.4,330
81,0.5,328
83,0.5,327
85,0.5,326
87,0.51,325
88,0.51,324
90,0.51,323
91,0.51,320
96,0.52,319
99,0.53,318
100,0.54,316
102,0.54,315
103,0.54,314
110,0.54,312
111,0.55,311
112,0.55,308
113,0.55,307
114,0.55,306
116,0.56,305
117,0.56,304
118,0.56,301
119,0.56,301
120,0.56,300
121,0.56,298
123,0.57,296
126,0.57,293
127,0.57,290
128,0.57,288
131,0.58,286
132,0.59,283
134,0.59,282
135,0.59,280
141,0.59,278
142,0.6,276
144,0.6,273
146,0.6,270
155,0.61,267
156,0.61,264
158,0.61,261
159,0.62,257
160,0.62,255
167,0.62,253
169,0.62,251
170,0.62,248
171,0.63,245
172,0.63,243
173,0.63,240
174,0.63,237
175,0.63,234
179,0.63,232
180,0.63,228
186,0.64,226
188,0.65,224
189,0.65,220
190,0.65,217
192,0.66,215
193,0.67,213
195,0.67,210
197,0.68,207
199,0.69,202
200,0.7,198
201,0.71,195
202,0.72,193
203,0.73,189
204,0.73,186
205,0.74,184
206,0.75,180
207,0.76,176
208,0.77,172
209,0.78,168
210,0.78,164
211,0.78,159
212,0.78,155
213,0.79,150
214,0.79,145
218,0.79,141
219,0.79,137
220,0.8,133
222,0.8,129
225,0.8,125
226,0.8,120
227,0.81,116
228,0.81,112
229,0.81,108
230,0.82,105
231,0.82,100
232,0.83,96
233,0.84,90
234,0.85,86
235,0.86,82
236,0.87,78
237,0.88,74
238,0.89,70
239,0.89,65
240,0.9,60
241,0.91,56
242,0.92,51
243,0.93,47
244,0.93,42
245,0.94,38
246,0.95,34
247,0.96,30
248,0.96,26
249,0.97,22
250,0.98,18
251,0.99,15
252,0.99,10
253,0.99,5
254,1,0
255,1,0
